SoftwareName;FQNClass;CollectionVariable;AddListenerMethod;RemoveListenerMethod;ClassDeclarationKeyword;MethodDeclarationKeyword;ClassType;ScanCollectionMethod;SCMCallAbsMethod;HasSuperclass;ImplementsInterfaces;ChangeState;AfterChangeStateIterateOverList
Path;AbstractHandle.java;1;1;1;3;3;2;1;1;2;2;1;1
Path;AbstractLocator.java;1;1;1;3;3;2;1;1;2;2;1;1
Path;AbstractTool.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;ActionTool.java;1;2;1;3;3;2;1;1;2;1;1;1
Path;AlignCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;BoxHandleKit.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;BringToFrontCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;BufferedUpdateStrategy.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;ChangeAttributeCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ChangeConnectionEndHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ChangeConnectionHandle.java;1;1;1;3;3;2;1;1;2;1;1;1
Path;ChangeConnectionStartHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ChopBoxConnector.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;CompositeFigure.java;1;2;2;3;3;2;1;1;2;2;1;1
Path;ConnectionHandle.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;ConnectionTool.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;CopyCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;CreationTool.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;CutCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;DecoratorFigure.java;1;2;2;3;3;2;1;1;2;2;1;1
Path;DeleteCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;DragTracker.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;DuplicateCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;EastHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;FigureChangeEventMulticaster.java;1;1;2;3;3;1;1;1;2;2;1;1
Path;FigureEnumerator.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;FigureTransferCommand.java;1;2;2;3;3;2;1;1;2;1;1;1
Path;GridConstrainer.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;HandleTracker.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;LocatorConnector.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;LocatorHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;NorthEastHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;NorthHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;NorthWestHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;NullHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;OffsetLocator.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;PasteCommand.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;RelativeLocator.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ReverseFigureEnumerator.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;SelectAreaTracker.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;SelectionTool.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;SendToBackCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;SimpleUpdateStrategy.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;SouthEastHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;SouthHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;SouthWestHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;StandardDrawing.java;1;2;2;3;3;1;1;1;2;2;1;1
Path;StandardDrawingView.java;1;2;2;3;3;1;1;1;2;2;1;1
Path;TextHolder.java;1;1;1;3;3;2;1;1;1;1;1;1
Path;ToggleGridCommand.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ToolButton.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;WestHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;Animatable.java;1;1;1;3;3;2;1;1;1;1;1;1
Path;Clipboard.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ColorEntry.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ColorMap.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;Command.java;1;1;1;3;3;2;1;1;2;1;1;1
Path;CommandButton.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;CommandChoice.java;1;2;1;3;3;1;1;1;2;2;1;1
Path;CommandMenu.java;1;2;1;3;3;1;1;1;2;2;1;1
Path;Filler.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;FloatingTextField.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;Geom.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;Iconkit.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;PaletteButton.java;1;1;1;3;3;2;1;1;2;2;1;1
Path;PaletteIcon.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;PaletteLayout.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;PaletteListener.java;1;1;1;3;3;2;1;1;1;1;1;1
Path;ReverseVectorEnumerator.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;Storable.java;1;1;1;3;3;2;1;1;1;1;1;1
Path;StorableInput.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;StorableOutput.java;1;2;1;3;3;1;1;1;2;1;1;1
